country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,1952,8425333,Asia,28.801,779.4453145
Afghanistan,1962,10267083,Asia,31.997,853.10071
Afghanistan,1972,13079460,Asia,36.088,739.9811058
Afghanistan,1982,12881816,Asia,39.854,978.0114388
Afghanistan,1992,16317921,Asia,41.674,649.3413952
Afghanistan,2002,25268405,Asia,42.129,726.7340548
Australia,1957,9712569,Oceania,70.33,10949.64959
Australia,1967,11872264,Oceania,71.1,14526.12465
Australia,1977,14074100,Oceania,73.49,18334.19751
Australia,1987,16257249,Oceania,76.32,21888.88903
Australia,1997,18565243,Oceania,78.83,26997.93657
Australia,2007,20434176,Oceania,81.235,34435.36744
Bahrain,1952,120447,Asia,50.939,9867.084765
Bahrain,1962,171863,Asia,56.923,12753.27514
Bahrain,1972,230800,Asia,63.3,18268.65839
Bahrain,1982,377967,Asia,69.052,19211.14731
Bahrain,1992,529491,Asia,72.601,19035.57917
Bahrain,2002,656397,Asia,74.795,23403.55927
Bangladesh,1952,46886859,Asia,37.484,684.2441716
Bangladesh,1962,56839289,Asia,41.216,686.3415538
Bangladesh,1972,70759295,Asia,45.252,630.2336265
Bangladesh,1982,93074406,Asia,50.009,676.9818656
Bangladesh,1992,113704579,Asia,56.018,837.8101643
Bangladesh,2002,135656790,Asia,62.013,1136.39043
Cambodia,1952,4693836,Asia,39.417,368.4692856
Cambodia,1962,6083619,Asia,43.415,496.9136476
Cambodia,1972,7450606,Asia,40.317,421.6240257
Cambodia,1982,7272485,Asia,50.957,624.4754784
Cambodia,1992,10150094,Asia,55.803,682.3031755
Cambodia,2002,12926707,Asia,56.752,896.2260153
China,1952,556263527.999989,Asia,44,400.448610699994
China,1962,665770000,Asia,44.50136,487.6740183
China,1972,862030000,Asia,63.11888,676.9000921
China,1982,1000281000,Asia,65.525,962.4213805
China,1992,1164970000,Asia,68.69,1655.784158
China,2002,1280400000,Asia,72.028,3119.280896
Hong Kong China,1952,2125900,Asia,60.96,3054.421209
Hong Kong China,1962,3305200,Asia,67.65,4692.648272
Hong Kong China,1972,4115700,Asia,72,8315.928145
Hong Kong China,1982,5264500,Asia,75.45,14560.53051
Hong Kong China,1992,5829696,Asia,77.601,24757.60301
Hong Kong China,2002,6762476,Asia,81.495,30209.01516
India,1952,372000000,Asia,37.373,546.5657493
India,1962,454000000,Asia,43.605,658.3471509
India,1972,567000000,Asia,50.651,724.032527
India,1982,708000000,Asia,56.596,855.7235377
India,1992,872000000,Asia,60.223,1164.406809
India,2002,1034172547,Asia,62.879,1746.769454
Indonesia,1952,82052000,Asia,37.468,749.6816546
Indonesia,1962,99028000,Asia,42.518,849.2897701
Indonesia,1972,121282000,Asia,49.203,1111.107907
Indonesia,1982,153343000,Asia,56.159,1516.872988
Indonesia,1992,184816000,Asia,62.681,2383.140898
Indonesia,2002,211060000,Asia,68.588,2873.91287
Iran,1952,17272000,Asia,44.869,3035.326002
